Text,Tag,text,tag,d,Col0,Col1
"3,336",B-GT_AMT,,,,,
Amount,O,,,,,
Chargeable,O,,,,,
(,O,,,,,
in,O,,,,,
words,O,,,,,
),O,,,,,
E,O,,,,,
&,O,,,,,
O.,O,,,,,
E,O,,,,,
Indian,O,,,,,
Rupees,O,,,,,
Eight,O,,,,,
Thousand,O,,,,,
Three,O,,,,,
Hundred,O,,,,,
Thirty,O,,,,,
Six,O,,,,,
Only,O,,,,,
HSN,O,,,,,
/,O,,,,,
SAC,O,,,,,
Taxable,O,,,,,
Central,O,,,,,
Tax,O,,,,,
State,O,,,,,
Tax,O,,,,,
Total,O,,,,,
Value,O,,,,,
Rate,O,,,,,
Amount,O,,,,,
Rate,O,,,,,
Amount,O,,,,,
Tax,O,,,,,
Amount,O,,,,,
7324,O,,,,,
9,O,,,,,
%,O,,,,,
635.76,O,,,,,
9,O,,,,,
%,O,,,,,
635.76,O,,,,,
Total,O,,,,,
635.76,O,,,,,
635.76,O,,,,,
Tax,O,,,,,
Amount,O,,,,,
(,O,,,,,
in,O,,,,,
words,O,,,,,
),O,,,,,
:,O,,,,,
Indian,O,,,,,
Rupees,O,,,,,
One,O,,,,,
Thousand,O,,,,,
Two,O,,,,,
Hundred,O,,,,,
Seventy,O,,,,,
One,O,,,,,
and,O,,,,,
Fifty,O,,,,,
Two,O,,,,,
paise,O,,,,,
Only,O,,,,,
Company,O,,,,,
's,O,,,,,
Bank,O,,,,,
Details,O,,,,,
Company,O,,,,,
's,O,,,,,
PAN,O,,,,,
ADXPS3921J,O,,,,,
Bank,O,,,,,
Name,O,,,,,
:,O,,,,,
KOTAK,O,,,,,
MAHINDRA,O,,,,,
BANK,O,,,,,
Declaration,O,,,,,
A,O,,,,,
/,O,,,,,
c,O,,,,,
No,O,,,,,
.,O,,,,,
:,O,,,,,
5711312022,O,,,,,
I,O,,,,,
/,O,,,,,
We,O,,,,,
hereby,O,,,,,
certify,O,,,,,
that,O,,,,,
my,O,,,,,
/,O,,,,,
our,O,,,,,
registration,O,,,,,
certificate,O,,,,,
under,O,,,,,
the,O,,,,,
Branch,O,,,,,
&,O,,,,,
IFS,O,,,,,
Code,O,,,,,
:,O,,,,,
Khadki,O,,,,,
&,O,,,,,
KKBK0000727,O,,,,,
GST,O,,,,,
Act-2017,O,,,,,
is,O,,,,,
in,O,,,,,
force,O,,,,,
on,O,,,,,
the,O,,,,,
date,O,,,,,
on,O,,,,,
which,O,,,,,
the,O,,,,,
sale,O,,,,,
of,O,,,,,
the,O,,,,,
for,O,,,,,
SHAH,O,,,,,
MARKETING,O,,,,,
goods,O,,,,,
specified,O,,,,,
in,O,,,,,
this,O,,,,,
Tax,O,,,,,
Invoice,O,,,,,
is,O,,,,,
made,O,,,,,
by,O,,,,,
me,O,,,,,
/,O,,,,,
us,O,,,,,
and,O,,,,,
that,O,,,,,
the,O,,,,,
transactions,O,,,,,
of,O,,,,,
sales,O,,,,,
covered,O,,,,,
by,O,,,,,
this,O,,,,,
Tax,O,,,,,
Invoice,O,,,,,
has,O,,,,,
been,O,,,,,
effected,O,,,,,
by,O,,,,,
sale,O,,,,,
has,O,,,,,
been,O,,,,,
paid,O,,,,,
or,O,,,,,
shall,O,,,,,
be,O,,,,,
paid,O,,,,,
.,O,,,,,
Authorised,O,,,,,
Signatory,O,,,,,
SUBJECT,O,,,,,
TO,O,,,,,
PUNE,O,,,,,
JURISDICTION,O,,,,,
MA,O,,,,,
This,O,,,,,
is,O,,,,,
a,O,,,,,
Computer,O,,,,,
Generated,O,,,,,
Invoice,O,,,,,
Okysten,O,,,,,
Fung,O,,,,,
AVIVA,B-SUPP_N,,,,,
DOORS,I-SUPP_N,,,,,
Factory,O,,,,,
Address:-,O,,,,,
GAT,O,,,,,
NO.255B,O,,,,,
PLOT,O,,,,,
NO.26/27,O,,,,,
JYOTIBA,O,,,,,
NAGAR,O,,,,,
TALAWADE,O,,,,,
PUNE-411062,O,,,,,
Registered,O,,,,,
office,O,,,,,
:,O,,,,,
-,O,,,,,
E-83,O,,,,,
Adinath,O,,,,,
Society,O,,,,,
Pune,O,,,,,
-,O,,,,,
Satara,O,,,,,
Road,O,,,,,
PUNE,O,,,,,
-,O,,,,,
411037,O,,,,,
CONTACT,O,,,,,
:,O,,,,,
-,O,,,,,
20,O,,,,,
-,O,,,,,
24269505,O,,,,,
Mob:-,O,,,,,
91,O,,,,,
8446380632,O,,,,,
-,O,,,,,
Email,O,,,,,
:,O,,,,,
-,O,,,,,
avivadoor@gmail.com,O,,,,,
TAX,O,,,,,
INVOICE,O,,,,,
Original,O,,,,,
Invoice,B-INV_L,,,,,
No,I-INV_L,,,,,
.,I-INV_L,,,,,
:,O,,,,,
TI-236/19,B-INV_NO,,,,,
-,I-INV_NO,,,,,
20,I-INV_NO,,,,,
Date,B-INV_DL,,,,,
:,O,,,,,
18-06-2019,B-INV_DT,,,,,
1,O,,,,,
Po,O,,,,,
/,O,,,,,
Ref,O,,,,,
No,O,,,,,
.,O,,,,,
:,O,,,,,
3361-BED,O,,,,,
-,O,,,,,
E,O,,,,,
-,O,,,,,
WING,O,,,,,
Buyer,O,,,,,
Party,O,,,,,
M,O,,,,,
/,O,,,,,
s,O,,,,,
.,O,,,,,
:,O,,,,,
SIDDHARTH,B-BUY_N,,,,,
PROPERTIES,I-BUY_N,,,,,
SIDDHARTH,O,,,,,
EDEN,O,,,,,
COURT,O,,,,,
MODEL,O,,,,,
COIONY,O,,,,,
PUNE,O,,,,,
-,O,,,,,
MO,O,,,,,
-,O,,,,,
NO-8308846229,O,,,,,
11859-BANER,O,,,,,
PUNE,O,,,,,
Place,O,,,,,
of,O,,,,,
Supply,O,,,,,
:,O,,,,,
27-Maharashtra,O,,,,,
GSTIN,B-GSTL,,,,,
No,I-GSTL,,,,,
.,I-GSTL,,,,,
:,O,,,,,
27AAZFS3607C1ZY,B-BUY_G,,,,,
Ch,O,,,,,
.,O,,,,,
No,O,,,,,
.,O,,,,,
:,O,,,,,
1792,O,,,,,
Ch,O,,,,,
Date,O,,,,,
.,O,,,,,
:,O,,,,,
17-06-2019,O,,,,,
Vehicle,O,,,,,
No,O,,,,,
.,O,,,,,
:,O,,,,,
MH14EM5235,O,,,,,
Site,O,,,,,
Name,O,,,,,
:,O,,,,,
SKYBAY,O,,,,,
Del,O,,,,,
.,O,,,,,
Add,O,,,,,
:,O,,,,,
PO,O,,,,,
-,O,,,,,
NO,O,,,,,
-,O,,,,,
SAA,O,,,,,
-,O,,,,,
MH-2018,O,,,,,
-,O,,,,,
12085-BANER,O,,,,,
Despatch,O,,,,,
Thr,O,,,,,
.,O,,,,,
:,O,,,,,
POOJA,O,,,,,
TEMPO,O,,,,,
Skybay,O,,,,,
SrNo,O,,,,,
Product,O,,,,,
Name,O,,,,,
HSN,O,,,,,
SAC,O,,,,,
Nos,O,,,,,
Total,O,,,,,
Rate,O,,,,,
GST%,O,,,,,
Amount,O,,,,,
1,O,,,,,
35MM,O,,,,,
BSL,O,,,,,
-,O,,,,,
DOOR,O,,,,,
-,O,,,,,
BED,O,,,,,
4418,O,,,,,
1,O,,,,,
1,O,,,,,
NOS,O,,,,,
8700,O,,,,,
18,O,,,,,
8700,O,,,,,
gho,O,,,,,
GSTIN,B-GSTL,,,,,
No,I-GSTL,,,,,
.,I-GSTL,,,,,
:,O,,,,,
27AARFA8194J1ZP,B-SUPP_G,,,,,
Sub,O,,,,,
Total,O,,,,,
8700,O,,,,,
Bank,O,,,,,
Name,O,,,,,
:,O,,,,,
INDIAN,O,,,,,
BANK,O,,,,,
Bank,O,,,,,
A,O,,,,,
/,O,,,,,
c,O,,,,,
.,O,,,,,
No,O,,,,,
.,O,,,,,
:,O,,,,,
894914709,O,,,,,
GS,O,,,,,
/,O,,,,,
IFSC,O,,,,,
Code,O,,,,,
:,O,,,,,
IDIBOOONO12,O,,,,,
Total,O,,,,,
GST,O,,,,,
:,O,,,,,
One,O,,,,,
Thousand,O,,,,,
Five,O,,,,,
Hundred,O,,,,,
Sixty,O,,,,,
Six,O,,,,,
Only,O,,,,,
Taxable,O,,,,,
Amount,O,,,,,
8700,O,,,,,
CGST,O,,,,,
SGST,O,,,,,
783,O,,,,,
783,O,,,,,
Bill,O,,,,,
Amount,O,,,,,
:,O,,,,,
Ten,O,,,,,
Thousand,O,,,,,
Two,O,,,,,
Hundred,O,,,,,
Sixty,O,,,,,
Six,O,,,,,
Only,O,,,,,
Grand,B-GT_AMTL,,,,,
Total,I-GT_AMTL,,,,,
"10,266.00",B-GT_AMT,,,,,
HSN,O,,,,,
Summary,O,,,,,
:,O,,,,,
Note,O,,,,,
:,O,,,,,
-,O,,,,,
HSN,O,,,,,
Code,O,,,,,
Per,O,,,,,
%,O,,,,,
Taxable,O,,,,,
Value,O,,,,,
CGST,O,,,,,
Amount,O,,,,,
783,O,,,,,
SGST,O,,,,,
Amount,O,,,,,
783,O,,,,,
4418,O,,,,,
18,O,,,,,
%,O,,,,,
8700,O,,,,,
Terms,O,,,,,
&,O,,,,,
Condition,O,,,,,
:,O,,,,,
For,O,,,,,
AVIVA,O,,,,,
DOORS,O,,,,,
INX,O,,,,,
1,O,,,,,
.,O,,,,,
Goods,O,,,,,
once,O,,,,,
sold,O,,,,,
will,O,,,,,
not,O,,,,,
be,O,,,,,
taken,O,,,,,
back,O,,,,,
.,O,,,,,
2,O,,,,,
.,O,,,,,
Interest,O,,,,,
@18,O,,,,,
%,O,,,,,
p.a,O,,,,,
.,O,,,,,
will,O,,,,,
be,O,,,,,
charged,O,,,,,
if,O,,,,,
payment,O,,,,,
is,O,,,,,
not,O,,,,,
made,O,,,,,
within,O,,,,,
due,O,,,,,
date,O,,,,,
.,O,,,,,
3,O,,,,,
.,O,,,,,
Our,O,,,,,
risk,O,,,,,
and,O,,,,,
responsibility,O,,,,,
ceases,O,,,,,
as,O,,,,,
soon,O,,,,,
as,O,,,,,
the,O,,,,,
goods,O,,,,,
leave,O,,,,,
our,O,,,,,
premises,O,,,,,
.,O,,,,,
4,O,,,,,
.,O,,,,,
"""",O,,,,,
Subject,O,,,,,
to,O,,,,,
',O,,,,,
PUNE,O,,,,,
',O,,,,,
Jurisdiction,O,,,,,
only,O,,,,,
.,O,,,,,
E.,O,,,,,
&,O,,,,,
.O.E,O,,,,,
"""",O,,,,,
"Declaration:-""I",O,,,,,
/,O,,,,,
We,O,,,,,
here,O,,,,,
by,O,,,,,
certify,O,,,,,
that,O,,,,,
my,O,,,,,
/,O,,,,,
our,O,,,,,
registration,O,,,,,
certificate,O,,,,,
under,O,,,,,
the,O,,,,,
GST,O,,,,,
is,O,,,,,
in,O,,,,,
force,O,,,,,
on,O,,,,,
the,O,,,,,
date,O,,,,,
on,O,,,,,
which,O,,,,,
the,O,,,,,
sales,O,,,,,
of,O,,,,,
the,O,,,,,
goods,O,,,,,
specified,O,,,,,
in,O,,,,,
this,O,,,,,
Tax,O,,,,,
Invoice,O,,,,,
is,O,,,,,
made,O,,,,,
by,O,,,,,
me/,O,,,,,
us,O,,,,,
and,O,,,,,
that,O,,,,,
the,O,,,,,
transaction,O,,,,,
of,O,,,,,
sales,O,,,,,
covered,O,,,,,
by,O,,,,,
this,O,,,,,
tax,O,,,,,
invoice,O,,,,,
has,O,,,,,
been,O,,,,,
effected,O,,,,,
by,O,,,,,
me,O,,,,,
/,O,,,,,
us,O,,,,,
and,O,,,,,
it,O,,,,,
shall,O,,,,,
be,O,,,,,
accounted,O,,,,,
for,O,,,,,
in,O,,,,,
the,O,,,,,
turnover,O,,,,,
of,O,,,,,
sales,O,,,,,
while,O,,,,,
filling,O,,,,,
of,O,,,,,
return,O,,,,,
and,O,,,,,
the,O,,,,,
due,O,,,,,
tax,O,,,,,
.,O,,,,,
Authorised,O,,,,,
Signatory,O,,,,,
),O,,,,,
TAX,O,,,,,
INVOICE(Page,O,,,,,
2,O,,,,,
),O,,,,,
Invoice,B-INV_L,,,,,
No,I-INV_L,,,,,
.,I-INV_L,,,,,
SM/18,B-INV_NO,,,,,
-,I-INV_NO,,,,,
19/06450,I-INV_NO,,,,,
Delivery,O,,,,,
Note,O,,,,,
e,O,,,,,
-,O,,,,,
Way,O,,,,,
Bill,O,,,,,
No,O,,,,,
.,O,,,,,
Dated,B-INV_DL,,,,,
2.81063E+11,O,,,,,
05-Dec-18,B-INV_DT,,,,,
Mode,O,,,,,
/,O,,,,,
Terms,O,,,,,
of,O,,,,,
Payment,O,,,,,
Other,O,,,,,
Reference(s,O,,,,,
),O,,,,,
SHAH,B-SUPP_N,,,,,
MARKETING,I-SUPP_N,,,,,
Shop,O,,,,,
No.6,O,,,,,
Llyods,O,,,,,
Chamber,O,,,,,
Barne,O,,,,,
Road,O,,,,,
409,O,,,,,
Mangalwar,O,,,,,
Peth,O,,,,,
Pune,O,,,,,
GSTIN,B-GSTL,,,,,
/,I-GSTL,,,,,
UIN,I-GSTL,,,,,
:,O,,,,,
27ADXPS3921J1ZT,B-SUPP_G,,,,,
State,O,,,,,
Name,O,,,,,
:,O,,,,,
Maharashtra,O,,,,,
Code,O,,,,,
:,O,,,,,
27,O,,,,,
Contact,O,,,,,
:,O,,,,,
20,O,,,,,
-,O,,,,,
-,O,,,,,
26052747,O,,,,,
E,O,,,,,
-,O,,,,,
Mail,O,,,,,
:,O,,,,,
shahmarketing4@gmail.com,O,,,,,
Buyer,O,,,,,
SIDDHARTH,B-BUY_N,,,,,
REAL,I-BUY_N,,,,,
VENTURES,I-BUY_N,,,,,
LLP,I-BUY_N,,,,,
Clo,I-BUY_N,,,,,
Saarthi,I-BUY_N,,,,,
Off,O,,,,,
No:-601,O,,,,,
&,O,,,,,
TRADE,O,,,,,
TOWER,O,,,,,
ICC,O,,,,,
COMPLEX,O,,,,,
SENAPATI,O,,,,,
BAPAT,O,,,,,
ROAD,O,,,,,
PUNE,O,,,,,
GSTIN,B-GSTL,,,,,
/,I-GSTL,,,,,
UIN,I-GSTL,,,,,
:,O,,,,,
27ACMFS9508B1ZX,B-BUY_G,,,,,
State,O,,,,,
Name,O,,,,,
:,O,,,,,
Maharashtra,O,,,,,
Code,O,,,,,
:,O,,,,,
27,O,,,,,
Supplier,O,,,,,
's,O,,,,,
Ref,O,,,,,
.,O,,,,,
QUOTATION2255,O,,,,,
Buyer,O,,,,,
's,O,,,,,
Order,O,,,,,
No,O,,,,,
.,O,,,,,
QUOTATION2255,O,,,,,
Despatch,O,,,,,
Document,O,,,,,
No,O,,,,,
.,O,,,,,
Dated,O,,,,,
05-Dec-18,O,,,,,
Delivery,O,,,,,
Note,O,,,,,
Date,O,,,,,
Despatched,O,,,,,
through,O,,,,,
Destination,O,,,,,
Contact,O,,,,,
person,O,,,,,
Contact,O,,,,,
E,O,,,,,
-,O,,,,,
Mail,O,,,,,
Terms,O,,,,,
of,O,,,,,
Delivery,O,,,,,
NAVNAMRATA,O,,,,,
Sr,O,,,,,
No:-119/2,O,,,,,
+,O,,,,,
Soc,O,,,,,
Paud,O,,,,,
Road,O,,,,,
Kothrud,O,,,,,
Pune,O,,,,,
Po,O,,,,,
No,O,,,,,
:,O,,,,,
425,O,,,,,
:,O,,,,,
NILASH,O,,,,,
MANE,O,,,,,
:,O,,,,,
20,O,,,,,
-,O,,,,,
25633361/32/25635253,O,,,,,
.,O,,,,,
:,O,,,,,
nilesh.mane@saarthigroup.co.in,O,,,,,
SI,O,,,,,
No,O,,,,,
.,O,,,,,
Description,O,,,,,
of,O,,,,,
Goods,O,,,,,
HSN,O,,,,,
/,O,,,,,
SAC,O,,,,,
GST,O,,,,,
Rate,O,,,,,
Quantity,O,,,,,
Rate,O,,,,,
per,O,,,,,
Disc,O,,,,,
.,O,,,,,
%,O,,,,,
Amount,O,,,,,
3917,O,,,,,
3917,O,,,,,
3917,O,,,,,
3917,O,,,,,
3917,O,,,,,
3917,O,,,,,
3917,O,,,,,
3917,O,,,,,
3917,O,,,,,
3917,O,,,,,
18,O,,,,,
%,O,,,,,
5,O,,,,,
Nos,O,,,,,
.,O,,,,,
18,O,,,,,
%,O,,,,,
15,O,,,,,
Nos,O,,,,,
.,O,,,,,
18,O,,,,,
%,O,,,,,
2,O,,,,,
Nos,O,,,,,
.,O,,,,,
18,O,,,,,
%,O,,,,,
2,O,,,,,
Nos,O,,,,,
.,O,,,,,
18,O,,,,,
%,O,,,,,
15,O,,,,,
Nos,O,,,,,
.,O,,,,,
18,O,,,,,
%,O,,,,,
12,O,,,,,
Nos,O,,,,,
.,O,,,,,
18,O,,,,,
%,O,,,,,
10,O,,,,,
Nos,O,,,,,
.,O,,,,,
18,O,,,,,
%,O,,,,,
10,O,,,,,
Nos,O,,,,,
.,O,,,,,
18,O,,,,,
%,O,,,,,
10,O,,,,,
Nos,O,,,,,
.,O,,,,,
18,O,,,,,
%,O,,,,,
5,O,,,,,
Nos,O,,,,,
.,O,,,,,
200.6,O,,,,,
Nos,O,,,,,
.,O,,,,,
320.8,O,,,,,
Nos,O,,,,,
.,O,,,,,
230.8,O,,,,,
Nos,O,,,,,
.,O,,,,,
600.1,O,,,,,
Nos,O,,,,,
.,O,,,,,
Nos,O,,,,,
.,O,,,,,
202.9,O,,,,,
Nos,O,,,,,
.,O,,,,,
202.9,O,,,,,
Nos,O,,,,,
.,O,,,,,
112.6,O,,,,,
Nos,O,,,,,
.,O,,,,,
436.4,O,,,,,
Nos,O,,,,,
.,O,,,,,
343.6,O,,,,,
Nos,O,,,,,
54,O,,,,,
%,O,,,,,
54,O,,,,,
%,O,,,,,
54,O,,,,,
%,O,,,,,
54,O,,,,,
%,O,,,,,
54,O,,,,,
%,O,,,,,
54,O,,,,,
%,O,,,,,
54,O,,,,,
%,O,,,,,
54,O,,,,,
%,O,,,,,
54,O,,,,,
%,O,,,,,
54,O,,,,,
%,O,,,,,
461.38,O,,,,,
790.28,O,,,,,
27,O,,,,,
Upvc,O,,,,,
Bushing-4,O,,,,,
"""",O,,,,,
"""",O,,,,,
Soi30,O,,,,,
Ajay,O,,,,,
),O,,,,,
28,O,,,,,
UPVC,O,,,,,
SOCKET,O,,,,,
4,O,,,,,
"""",O,,,,,
Sch-80,O,,,,,
(,O,,,,,
AJAY,O,,,,,
),O,,,,,
29,O,,,,,
Upvc,O,,,,,
M.T.A.,O,,,,,
Plastic,O,,,,,
4,O,,,,,
"""",O,,,,,
Sch-80,O,,,,,
(,O,,,,,
Ajay,O,,,,,
),O,,,,,
30,O,,,,,
UPVC,O,,,,,
ELBOW,O,,,,,
4,O,,,,,
"""",O,,,,,
Sch-80,O,,,,,
(,O,,,,,
AJAY,O,,,,,
),O,,,,,
31,O,,,,,
Upvc,O,,,,,
Sch-80,O,,,,,
Pipe,O,,,,,
"3""x",O,,,,,
3Mtr,O,,,,,
(,O,,,,,
Ajay,O,,,,,
),O,,,,,
32,O,,,,,
UPVC,O,,,,,
SOCKET,O,,,,,
3,O,,,,,
"""",O,,,,,
SCH-80,O,,,,,
(,O,,,,,
AJAY,O,,,,,
),O,,,,,
33,O,,,,,
UPVC,O,,,,,
SOCKET,O,,,,,
3,O,,,,,
"""",O,,,,,
SCH-80,O,,,,,
(,O,,,,,
AJAY,O,,,,,
),O,,,,,
34,O,,,,,
Upvc,O,,,,,
Bushing-,O,,,,,
3,O,,,,,
"""",O,,,,,
x,O,,,,,
2,O,,,,,
01-Feb,O,,,,,
"""",O,,,,,
Sch80,O,,,,,
(,O,,,,,
Ajay,O,,,,,
),O,,,,,
35,O,,,,,
UPVC,O,,,,,
TEE,O,,,,,
3,O,,,,,
"""",O,,,,,
SCH-80,O,,,,,
(,O,,,,,
AJAY,O,,,,,
),O,,,,,
36,O,,,,,
Upvc,O,,,,,
Bushing,O,,,,,
"3""x",O,,,,,
2,O,,,,,
"""",O,,,,,
Sch-80,O,,,,,
(,O,,,,,
Ajay,O,,,,,
),O,,,,,
Rs,O,,,,,
3,O,,,,,
"""",O,,,,,
x,O,,,,,
2,O,,,,,
"""",O,,,,,
37,O,,,,,
Upvc,O,,,,,
Elbow,O,,,,,
3,O,,,,,
"""",O,,,,,
Sch,O,,,,,
80,O,,,,,
(,O,,,,,
Ajay,O,,,,,
),O,,,,,
38,O,,,,,
UPVC,O,,,,,
SOCKET,O,,,,,
2,O,,,,,
01-Feb,O,,,,,
"""",O,,,,,
Sch-80,O,,,,,
(,O,,,,,
AJAY,O,,,,,
),O,,,,,
39,O,,,,,
UPVC,O,,,,,
ELBOW,O,,,,,
2,O,,,,,
01-Feb,O,,,,,
"""",O,,,,,
90-DEG,O,,,,,
Sch-80,O,,,,,
(,O,,,,,
AJAY,O,,,,,
),O,,,,,
40,O,,,,,
UPVC,O,,,,,
SOCKET,O,,,,,
2,O,,,,,
01-Feb,O,,,,,
"""",O,,,,,
Sch-80,O,,,,,
(,O,,,,,
AJAY,O,,,,,
),O,,,,,
41,O,,,,,
Upvc,O,,,,,
Bushing,O,,,,,
2,O,,,,,
"1/2""x",O,,,,,
1,O,,,,,
01-Feb,O,,,,,
"""",O,,,,,
Sch-80,O,,,,,
(,O,,,,,
Ajay,O,,,,,
),O,,,,,
42,O,,,,,
Upvc,O,,,,,
Tee,O,,,,,
-,O,,,,,
2,O,,,,,
01-Feb,O,,,,,
"""",O,,,,,
Sch-80,O,,,,,
(,O,,,,,
Ajay,O,,,,,
),O,,,,,
43,O,,,,,
UPVC,O,,,,,
NSF,O,,,,,
BALVALVE,O,,,,,
21-Feb,O,,,,,
"""",O,,,,,
(,O,,,,,
AJAY,O,,,,,
),O,,,,,
44,O,,,,,
UPVC,O,,,,,
NON,O,,,,,
NSF,O,,,,,
BALVALVE,O,,,,,
11-Feb,O,,,,,
"""",O,,,,,
(,O,,,,,
AJAY,O,,,,,
),O,,,,,
45,O,,,,,
Upvc,O,,,,,
Sch-80,O,,,,,
Pipe,O,,,,,
"2""x",O,,,,,
3mtr,O,,,,,
(,O,,,,,
Ajay,O,,,,,
),O,,,,,
46,O,,,,,
UPVC,O,,,,,
TEE,O,,,,,
2,O,,,,,
"""",O,,,,,
(,O,,,,,
AJAY,O,,,,,
),O,,,,,
47,O,,,,,
UPVC,O,,,,,
ELBOW,O,,,,,
2,O,,,,,
"""",O,,,,,
90,O,,,,,
DEG,O,,,,,
SCH-80,O,,,,,
(,O,,,,,
AJAY,O,,,,,
),O,,,,,
48,O,,,,,
UPVC,O,,,,,
SOCKET,O,,,,,
2,O,,,,,
"""",O,,,,,
Sch-80,O,,,,,
(,O,,,,,
AJAY,O,,,,,
),O,,,,,
49,O,,,,,
TAPLONE,O,,,,,
TAPE,O,,,,,
50,O,,,,,
Upvc,O,,,,,
R.Tee,O,,,,,
2,O,,,,,
"1/2""x",O,,,,,
1,O,,,,,
01-Apr,O,,,,,
"""",O,,,,,
Sch-80,O,,,,,
(,O,,,,,
Ajay,O,,,,,
),O,,,,,
51,O,,,,,
UPVC,O,,,,,
BUSHING,O,,,,,
1,O,,,,,
"1/4""X",O,,,,,
03-Apr,O,,,,,
"""",O,,,,,
Sch-80,O,,,,,
(,O,,,,,
AJAY,O,,,,,
),O,,,,,
3917,O,,,,,
3917,O,,,,,
3917,O,,,,,
3917,O,,,,,
3917,O,,,,,
3917,O,,,,,
8481,O,,,,,
8481,O,,,,,
3917,O,,,,,
3917,O,,,,,
3917,O,,,,,
3917,O,,,,,
3919,O,,,,,
3917,O,,,,,
3917,O,,,,,
18,O,,,,,
%,O,,,,,
6,O,,,,,
Nos,O,,,,,
.,O,,,,,
